OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT
1995534,T20140014216,1404950400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,141500,273984,A,M,73,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995535,T20140014382,1405123200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,123700,272918,A,M,59,4,Motorcyclists,4,Collision with a fixed object,1,HEPBURN,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1
1995536,T20140014697,1405555200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,020300,273129,A,M,25,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,5605,Declared Road,,,1
1995537,T20140014837,1405641600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,173000,72744,B,F,79,2,Drivers,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,9999,Non Declared Road,,,1
1995538,T20140014899,1405728000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,154500,273220,B,M,27,4,Motorcyclists,1,Collision with vehicle,2,MORELAND,Melbourne - North West,I,Intersection,5500,Declared Road,,,1
1995539,T20140015197,1406073600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,171400,274136,01,M,43,3,Passengers,1,Collision with vehicle,3,HUME,Melbourne - North West,N,Non Intersection,2810,Declared Road,,,2
1995540,T20140015197,1406073600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,171400,274136,C,M,45,2,Drivers,1,Collision with vehicle,3,HUME,Melbourne - North West,N,Non Intersection,2810,Declared Road,,,2
1995541,T20140015251,1406160000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,134000,275302,01,F,44,3,Passengers,4,Collision with a fixed object,1,CORANGAMITE,Country,N,Non Intersection,4890,Declared Road,,,2
1995542,T20140015251,1406160000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,134000,275302,03,M,17,3,Passengers,4,Collision with a fixed object,1,CORANGAMITE,Country,N,Non Intersection,4890,Declared Road,,,2
1995543,T20140018035,1409443200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,011500,275048,03,M,65,1,Pedestrians,1,Collision with vehicle,3,BAYSIDE,Melbourne - Inner South,N,Non Intersection,2660,Declared Road,,,1
1995544,T20140015756,1406764800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,064700,46695,01,M,38,1,Pedestrians,2,Struck Pedestrian,1,KNOX,Melbourne - Outer East,I,Intersection,2090,Declared Road,,,1
1995545,T20140015790,1406764800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,121000,277151,01,M,78,1,Pedestrians,2,Struck Pedestrian,2,FRANKSTON,Metro,N,Non Intersection,2660,Declared Road,,,1
1995546,T20140015852,1406851200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,142600,43418,B,M,79,2,Drivers,1,Collision with vehicle,2,FRANKSTON,Metro,I,Intersection,9999,Non Declared Road,,,1
1995547,T20140016171,1407196800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,114000,274133,A,M,78,2,Drivers,1,Collision with vehicle,3,SWAN HILL,Country,N,Non Intersection,2570,Declared Road,,,1
1995548,T20160012895,1465516800000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,203000,304600,01,M,66,3,Passengers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,2
1995549,T20160012895,1465516800000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,203000,304600,02,M,45,3,Passengers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,2
1995550,T20180001664,1517011200000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,063700,326465,03,F,24,3,Passengers,4,Collision with a fixed object,1,NORTHERN GRAMPIANS,Country,N,Non Intersection,5136,Declared Road,,,1
1995551,T20140016810,1407888000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,090000,274441,A,F,65,2,Drivers,4,Collision with a fixed object,1,CAMPASPE,Country,N,Non Intersection,2570,Declared Road,,,1
1995552,T20140018085,1409443200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,194000,274867,A,M,48,2,Drivers,4,Collision with a fixed object,1,CORANGAMITE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995553,T20150017566,1440288000000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,200000,293665,A,M,36,4,Motorcyclists,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,2500,Declared Road,,,1
1995554,T20140020883,1412812800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,175500,275767,A,F,25,2,Drivers,1,Collision with vehicle,2,MOYNE,Country,I,Intersection,9999,Non Declared Road,,,1
1995555,T20140022169,1414281600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,111500,277027,B,F,31,4,Motorcyclists,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,2640,Declared Road,,,1
1995556,T20140018581,1410048000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,130500,275008,A,F,54,4,Motorcyclists,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,5793,Declared Road,,,1
1995557,T20140018634,1410134400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,052000,277793,A,M,26,2,Drivers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,N,Non Intersection,5798,Declared Road,,,1
1995558,T20140018677,1410134400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,164500,275047,A,M,49,2,Drivers,4,Collision with a fixed object,1,GEELONG,Country,N,Non Intersection,5857,Declared Road,,,1
1995559,T20140018685,1410134400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,203000,276037,A,M,62,2,Drivers,4,Collision with a fixed object,1,HEPBURN,Ballarat,N,Non Intersection,5154,Declared Road,,,1
1995560,T20170013835,1500163200000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,162500,50403,A,F,75,2,Drivers,1,Collision with vehicle,3,BASS COAST,Country,I,Intersection,2710,Declared Road,,,1
1995561,T20140018858,1410393600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,115800,253722,01,M,86,1,Pedestrians,2,Struck Pedestrian,1,MORELAND,Melbourne - Inner,I,Intersection,2400,Declared Road,,,1
1995562,T20140018959,1410480000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,154500,275179,01,F,81,3,Passengers,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,2670,Declared Road,,,2
1995563,T20140018959,1410480000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,154500,275179,A,M,85,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,2670,Declared Road,,,2
1995564,T20180022770,1543881600000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,182600,344104,B,M,65,6,Bicyclists,5,Collision with some other object,2,MOUNT ALEXANDER,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1
1995565,T20140019342,1410998400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,083500,275298,01,F,76,3,Passengers,4,Collision with a fixed object,1,STRATHBOGIE,Country,N,Non Intersection,5505,Declared Road,,,1
1995566,T20140019383,1410998400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,185500,277528,A,M,40,2,Drivers,4,Collision with a fixed object,1,KNOX,Melbourne - Outer East,N,Non Intersection,2996,Declared Road,,,1
1995567,T20140019585,1411257600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,154500,277360,01,M,38,1,Pedestrians,2,Struck Pedestrian,1,CASEY,Melbourne - South East,N,Non Intersection,5970,Declared Road,,,1
1995568,T20140019650,1411344000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,163500,275358,B,M,52,4,Motorcyclists,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,9999,Non Declared Road,,,1
1995569,T20140019655,1410393600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,222500,277176,01,M,36,1,Pedestrians,9,Other accident,1,DANDENONG,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995570,T20140016909,1408060800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,112500,274467,B,M,57,4,Motorcyclists,1,Collision with vehicle,2,MOUNT ALEXANDER,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1
1995571,T20140016923,1408060800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,132000,279673,A,M,64,2,Drivers,4,Collision with a fixed object,1,GEELONG,Country,N,Non Intersection,5001,Declared Road,,,1
1995572,T20140006407,1395964800000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,063500,277039,B,M,49,6,Bicyclists,1,Collision with vehicle,2,COLAC OTWAY,Country,N,Non Intersection,5074,Declared Road,,,1
1995573,T20140017284,1408492800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,164000,277040,A,M,30,2,Drivers,4,Collision with a fixed object,1,MACEDON RANGES,Country,N,Non Intersection,2530,Declared Road,,,1
1995574,T20140017477,1408752000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,163000,274634,A,M,28,4,Motorcyclists,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,N,Non Intersection,5770,Declared Road,,,1
1995575,T20140017747,1409097600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,122000,274763,A,M,94,2,Drivers,1,Collision with vehicle,2,BAYSIDE,Melbourne - Inner South,N,Non Intersection,9999,Non Declared Road,,,1
1995576,T20140018027,1409356800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,181000,274827,01,F,74,1,Pedestrians,2,Struck Pedestrian,2,MONASH,Melbourne - South East,N,Non Intersection,5801,Declared Road,,,1
1995577,T20150000020,1420070400000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,065100,286438,A,M,28,2,Drivers,4,Collision with a fixed object,1,BAYSIDE,Melbourne - Inner South,N,Non Intersection,5845,Declared Road,,,1
1995578,T20140018069,1409443200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,112900,29789,01,F,27,3,Passengers,1,Collision with vehicle,2,MORNINGTON PENINSULA,Metro,I,Intersection,5751,Declared Road,,,1
1995579,T20140013605,1404259200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,154000,272589,A,M,92,2,Drivers,1,Collision with vehicle,2,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1
1995580,T20160001847,1453852800000,1451606400000,1460764800000,Include in Current Equivalent Period Road Deaths Reporting,013000,299624,01,F,18,3,Passengers,4,Collision with a fixed object,2,BRIMBANK,Melbourne - North West,N,Non Intersection,2900,Declared Road,,,2
1995581,T20160001847,1453852800000,1451606400000,1460764800000,Include in Current Equivalent Period Road Deaths Reporting,013000,299624,B,M,19,2,Drivers,4,Collision with a fixed object,2,BRIMBANK,Melbourne - North West,N,Non Intersection,2900,Declared Road,,,2
1995582,T20140013804,1404518400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,043000,272634,A,M,23,4,Motorcyclists,4,Collision with a fixed object,1,MELBOURNE,Melbourne - Inner,I,Intersection,9999,Non Declared Road,,,1
1995583,T20160025997,1480636800000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,063400,57865,A,M,61,4,Motorcyclists,1,Collision with vehicle,2,MANNINGHAM,Melbourne - Outer East,I,Intersection,2400,Declared Road,,,1
1995584,T20160025729,1480291200000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,154000,311153,01,M,81,1,Pedestrians,2,Struck Pedestrian,1,GEELONG,Country,N,Non Intersection,4032,Declared Road,,,1
1995585,T20140014131,1404864000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,144500,272884,02,F,87,3,Passengers,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,2550,Declared Road,,,1
1995586,T20140014162,1404864000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,185600,272835,A,F,88,2,Drivers,4,Collision with a fixed object,2,KNOX,Melbourne - Outer East,N,Non Intersection,2090,Declared Road,,,1
1995587,T20140014193,1404950400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,064000,272885,A,M,33,2,Drivers,4,Collision with a fixed object,1,CAMPASPE,Country,N,Non Intersection,2540,Declared Road,,,1
1995588,T20140010896,1401062400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,133000,271299,A,M,65,2,Drivers,4,Collision with a fixed object,1,BULOKE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995589,T20140010912,1401062400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,152500,271481,A,F,66,2,Drivers,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,5403,Declared Road,,,1
1995590,T20190001441,1548288000000,1546300800000,1555372800000,Include in Current Equivalent Period Road Deaths Reporting,135300,341498,01,M,55,3,Passengers,4,Collision with a fixed object,1,BOROONDARA,Melbourne - Inner East,N,Non Intersection,9999,Non Declared Road,,,1
1995591,T20140011155,1401408000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,020000,271895,A,F,35,2,Drivers,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,5682,Declared Road,,,1
1995592,T20140011273,1401494400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,142500,278590,B,F,55,2,Drivers,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,I,Intersection,9999,Non Declared Road,,,1
1995593,T20140011349,1401580800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,160000,271409,A,M,63,2,Drivers,4,Collision with a fixed object,1,SOUTHERN GRAMPIANS,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995594,T20140011582,1401840000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,214100,274199,A,M,25,2,Drivers,1,Collision with vehicle,4,FRANKSTON,Metro,N,Non Intersection,2660,Declared Road,,,1
1995595,T20140011953,1402358400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,053000,272500,A,M,22,2,Drivers,1,Collision with vehicle,3,GLENELG,Country,N,Non Intersection,2500,Declared Road,,,1
1995596,T20140012367,1402790400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,095000,274134,A,M,34,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,2510,Declared Road,,,1
1995597,T20140022144,1414281600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,031500,277025,A,M,45,2,Drivers,1,Collision with vehicle,2,SURF COAST,Country,N,Non Intersection,2500,Declared Road,,,1
1995598,T20140017230,1408492800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,060500,274754,A,M,39,2,Drivers,1,Collision with vehicle,3,WYNDHAM,Melbourne - West,N,Non Intersection,5042,Declared Road,,,1
1995599,T20140022546,1414627200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,221200,277298,A,M,42,2,Drivers,4,Collision with a fixed object,1,INDIGO,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995600,T20140022651,1414800000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,063000,112906,01,F,85,1,Pedestrians,2,Struck Pedestrian,1,MOONEE VALLEY,Melbourne - Inner,N,Non Intersection,5819,Declared Road,,,1
1995601,T20140023044,1415318400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,052500,277576,B,M,53,2,Drivers,1,Collision with vehicle,2,MELBOURNE,Melbourne - Inner,N,Non Intersection,5597,Declared Road,,,1
1995602,T20140023144,1415404800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,122500,277577,A,M,31,2,Drivers,4,Collision with a fixed object,1,HEPBURN,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1
1995603,T20140023145,1415404800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,121000,277578,A,F,33,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,I,Intersection,2530,Declared Road,,,1
1995604,T20140023259,1415577600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,085000,20746,A,M,64,2,Drivers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,I,Intersection,2510,Declared Road,,,1
1995605,T20140023304,1415577600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,234500,277674,A,F,25,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,N,Non Intersection,4890,Declared Road,,,1
1995606,T20140023311,1415664000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,010000,277794,A,F,25,2,Drivers,6,Vehicle overturned (no collision),1,WELLINGTON,Country,N,Non Intersection,5590,Declared Road,,,1
1995607,T20140024841,1417305600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,162500,29600,01,F,4,1,Pedestrians,2,Struck Pedestrian,1,STONNINGTON,Melbourne - Inner,I,Intersection,5801,Declared Road,,,1
1995608,T20140023445,1415750400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,110000,277744,B,M,76,6,Bicyclists,1,Collision with vehicle,2,MANSFIELD,Country,N,Non Intersection,4951,Declared Road,,,1
1995609,T20150006689,1427587200000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,050000,288994,A,M,46,2,Drivers,6,Vehicle overturned (no collision),1,MELTON,Melbourne - West,N,Non Intersection,2520,Declared Road,,,1
1995610,T20140023483,1415836800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,085500,279721,B,M,54,2,Drivers,1,Collision with vehicle,5,WYNDHAM,Melbourne - West,N,Non Intersection,7160,Declared Road,,,1
1995611,T20140023786,1416182400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,082500,13567,B,M,64,4,Motorcyclists,1,Collision with vehicle,3,YARRA,Melbourne - Inner,N,Non Intersection,2998,Declared Road,,,1
1995612,T20180006470,1522886400000,1514764800000,1523836800000,Include in Current Equivalent Period Road Deaths Reporting,130900,328937,01,F,59,1,Pedestrians,2,Struck Pedestrian,1,DANDENONG,Melbourne - South East,N,Non Intersection,2090,Declared Road,,,1
1995613,T20140024396,1416787200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,211000,278226,01,M,58,3,Passengers,1,Collision with vehicle,2,WANGARATTA,Country,N,Non Intersection,2550,Declared Road,,,1
1995614,T20140024443,1416873600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,142000,44014,02,M,86,3,Passengers,1,Collision with vehicle,2,MORNINGTON PENINSULA,Metro,I,Intersection,2660,Declared Road,,,1
1995615,T20140022182,1414281600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,145600,43723,B,M,51,2,Drivers,1,Collision with vehicle,2,MELTON,Melbourne - West,I,Intersection,5048,Declared Road,,,1
1995616,T20140025004,1417564800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,015500,43095,A,M,27,4,Motorcyclists,1,Collision with vehicle,2,DANDENONG,Melbourne - South East,I,Intersection,2090,Declared Road,,,1
1995617,T20180007511,1524268800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,011100,40919,01,M,38,3,Passengers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,5796,Declared Road,,,2
1995618,T20180007511,1524268800000,1514764800000,1523836800000,Include in Future Road Deaths Reporting,011100,40919,A,F,32,2,Drivers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,5796,Declared Road,,,2
1995619,T20140026552,1419206400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,112900,40817,A,F,80,2,Drivers,1,Collision with vehicle,3,WHITEHORSE,Melbourne - Outer East,I,Intersection,2400,Declared Road,,,1
1995620,T20140025205,1417737600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,061500,279119,A,M,26,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,5515,Declared Road,,,1
1995621,T20140025217,1417737600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,085500,279546,01,F,63,1,Pedestrians,2,Struck Pedestrian,1,LATROBE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995622,T20150001292,1421625600000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,055000,39785,A,M,60,2,Drivers,1,Collision with vehicle,5,MAROONDAH,Melbourne - Outer East,I,Intersection,5784,Declared Road,,,1
1995623,T20140025804,1418428800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,010800,279333,B,M,19,4,Motorcyclists,1,Collision with vehicle,2,BRIMBANK,Melbourne - West,N,Non Intersection,5520,Declared Road,,,1
1995624,T20140025904,1418515200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,153000,279334,A,F,19,2,Drivers,4,Collision with a fixed object,1,CAMPASPE,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995625,T20140026016,1418601600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,155500,280760,A,M,38,4,Motorcyclists,1,Collision with vehicle,2,WHITTLESEA,Melbourne - North East,N,Non Intersection,5606,Declared Road,,,1
1995626,T20140026159,1418774400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,085200,279722,A,M,45,2,Drivers,1,Collision with vehicle,2,GANNAWARRA,Country,N,Non Intersection,2570,Declared Road,,,1
1995627,T20150024647,1448668800000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,191400,45269,03,F,32,3,Passengers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,I,Intersection,9999,Non Declared Road,,,1
1995628,T20150001029,1421280000000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,074000,287931,A,M,31,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,5036,Declared Road,,,1
1995629,T20170015199,1501977600000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,051000,300748,A,M,23,2,Drivers,4,Collision with a fixed object,1,DANDENONG,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995630,T20150011387,1432857600000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,021000,289714,A,M,33,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995631,T20160024173,1478649600000,1451606400000,1460764800000,Include in Future Road Deaths Reporting,090500,54123,A,F,81,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,I,Intersection,2610,Declared Road,,,2
1995632,T20150000008,1420070400000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,001000,279836,A,M,35,4,Motorcyclists,1,Collision with vehicle,2,SHEPPARTON,Country,N,Non Intersection,9999,Non Declared Road,,,1
1995633,T20140024468,1416873600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,182500,278479,A,F,67,2,Drivers,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,2720,Declared Road,,,1
1995634,T20140024632,1417046400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,115000,30044,B,M,63,4,Motorcyclists,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,9999,Non Declared Road,,,1
1995635,T20170014075,1500508800000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,072600,323182,A,F,25,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,N,Non Intersection,5060,Declared Road,,,1
1995636,T20140024717,1417132800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,171300,278753,01,F,26,3,Passengers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,I,Intersection,2510,Declared Road,,,2
1995637,T20140024717,1417132800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,171300,278753,A,M,25,2,Drivers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,I,Intersection,2510,Declared Road,,,2
1995638,T20140024744,1417219200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,084000,393,A,M,24,4,Motorcyclists,1,Collision with vehicle,3,STONNINGTON,Melbourne - Inner,I,Intersection,5898,Declared Road,,,1
1995639,T20140025051,1417564800000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,105500,278988,A,M,65,6,Bicyclists,1,Collision with vehicle,2,MANSFIELD,Country,N,Non Intersection,5498,Declared Road,,,1
1995640,T20140024794,1417305600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,004500,279647,01,M,36,3,Passengers,6,Vehicle overturned (no collision),1,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,2
1995641,T20140024794,1417305600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,004500,279647,A,M,36,2,Drivers,6,Vehicle overturned (no collision),1,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,2
1995642,T20140019687,1411430400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,123900,35375,A,M,91,2,Drivers,4,Collision with a fixed object,1,MELBOURNE,Melbourne - Inner,I,Intersection,2080,Declared Road,,,1
1995643,T20140003208,1392422400000,1388534400000,1397606400000,Include in Current Equivalent Period Road Deaths Reporting,113000,267013,A,M,49,4,Motorcyclists,4,Collision with a fixed object,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5522,Declared Road,,,1
1995644,T20140020078,1411862400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,191500,277041,A,M,19,2,Drivers,4,Collision with a fixed object,1,INDIGO,Country,N,Non Intersection,5463,Declared Road,,,1
1995645,T20140020184,1412035200000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,120000,276071,A,M,25,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,N,Non Intersection,2200,Declared Road,,,1
1995646,T20140020334,1412208000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,084800,275644,01,F,60,1,Pedestrians,2,Struck Pedestrian,1,FRANKSTON,Metro,N,Non Intersection,5974,Declared Road,,,1
1995647,T20150004888,1425686400000,1420070400000,1429142400000,Include in Current Equivalent Period Road Deaths Reporting,041500,288125,A,M,25,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1
1995648,T20140020767,1412726400000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,111000,275787,A,M,51,2,Drivers,4,Collision with a fixed object,1,MOORABOOL,Ballarat,N,Non Intersection,5220,Declared Road,,,1
1995649,T20140022129,1414281600000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,005600,277026,A,M,36,4,Motorcyclists,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,5088,Declared Road,,,1
1995650,T20140023365,1415664000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,174500,73699,01,M,74,1,Pedestrians,2,Struck Pedestrian,1,MORNINGTON PENINSULA,Metro,I,Intersection,9999,Non Declared Road,,,1
1995651,T20170023159,1512345600000,1483228800000,1492300800000,Include in Future Road Deaths Reporting,054000,324424,A,M,22,2,Drivers,4,Collision with a fixed object,1,MORNINGTON PENINSULA,Metro,N,Non Intersection,5751,Declared Road,,,1
1995652,T20150009754,1431129600000,1420070400000,1429142400000,Include in Future Road Deaths Reporting,040000,288932,A,M,47,2,Drivers,1,Collision with vehicle,2,MAROONDAH,Melbourne - Outer East,N,Non Intersection,5784,Declared Road,,,1
1995653,T20140023730,1416096000000,1388534400000,1397606400000,Include in Future Road Deaths Reporting,172000,277840,01,M,5,1,Pedestrians,2,Struck Pedestrian,1,BOROONDARA,Melbourne - Inner East,N,Non Intersection,9999,Non Declared Road,,,1
